Acousticness,Comments,Danceability,Duration_ms,Energy,Instrumentalness,Key,Likes,Liveness,Loudness,Speechiness,Stream,Tempo,Valence,Views
0.731,124357.0,0.557,309600.0,0.442,1.46e-05,5.0,5532787.0,0.11,-7.224,0.0243,1465980600.0,146.277,0.213,1082588109.0
0.00617,79974.0,0.545,267867.0,0.675,0.00197,6.0,3741300.0,0.209,-6.474,0.0279,1021782403.0,124.97,0.162,786404613.0
0.0509,343020.0,0.449,278719.0,0.585,8.75e-05,5.0,8497224.0,0.0833,-6.761,0.0268,927288329.0,139.631,0.212,1665814269.0
0.211,377666.0,0.491,258267.0,0.693,6.92e-06,0.0,13515772.0,0.325,-6.487,0.0377,1049654852.0,90.027,0.412,1828242112.0
0.0114,432726.0,0.573,226198.0,0.711,0.0,1.0,8867547.0,0.328,-6.268,0.0406,883224238.0,105.006,0.47,254655970.0
0.164,114460.0,0.209,295533.0,0.417,0.00196,3.0,2962029.0,0.113,-8.74,0.0338,1115171056.0,138.178,0.124,566239229.0
0.0426,19646.0,0.794,248413.0,0.811,1.07e-06,6.0,956073.0,0.101,-8.966,0.038,844698895.0,116.047,0.862,32310867.0
0.0194,110189.0,0.613,320357.0,0.697,0.0,2.0,2707992.0,0.332,-8.618,0.133,471747761.0,122.746,0.476,432177586.0
0.0422,87115.0,0.775,337560.0,0.585,0.619,10.0,3111505.0,0.077,-9.516,0.0271,460589724.0,109.942,0.518,606828966.0
0.0378,19646.0,0.81,369627.0,0.793,1.77e-06,6.0,956073.0,0.072,-9.404,0.0403,400304719.0,116.05,0.863,32310867.0
0.00356,11904.0,0.956,429533.0,0.795,0.889,7.0,466569.0,0.0906,-5.311,0.15,293417547.0,121.294,0.841,38218353.0
0.0427,70754.0,0.817,224693.0,0.716,0.00263,6.0,1329678.0,0.358,-8.898,0.144,292668007.0,123.474,0.692,121308880.0
0.44,23915.0,0.875,232667.0,0.475,0.72,9.0,723914.0,0.046,-12.673,0.0986,185381876.0,99.958,0.384,77464307.0
0.0839,37436.0,0.832,353893.0,0.659,0.00114,10.0,1115598.0,0.0753,-7.828,0.057,274711166.0,100.163,0.674,195983803.0
0.479,7260.0,0.605,345187.0,0.687,0.949,9.0,216822.0,0.104,-13.928,0.045,90589464.0,106.896,0.12,23984070.0
0.048,8957.0,0.644,301373.0,0.664,0.867,9.0,203063.0,0.342,-8.398,0.0332,115484456.0,124.726,0.53,30079390.0
0.00958,409471.0,0.556,216880.0,0.864,0.0,3.0,10183387.0,0.209,-5.87,0.0584,1444841705.0,105.143,0.4,1487186392.0
0.0046,550921.0,0.496,185587.0,0.863,0.0,9.0,12341722.0,0.639,-4.153,0.0381,1195213410.0,110.018,0.243,1928733776.0
0.0141,148741.0,0.623,205613.0,0.93,1.64e-06,5.0,3370635.0,0.138,-5.285,0.0324,589294152.0,120.119,0.287,587927093.0
0.0603,9260.0,0.687,205733.0,0.793,0.0,2.0,226771.0,0.582,-4.254,0.166,778880225.0,107.045,0.751,44436981.0
0.0014,33750.0,0.492,157333.0,0.969,1.32e-06,9.0,1102031.0,0.0787,-4.419,0.0491,447287242.0,95.136,0.538,154808291.0
0.111,65731.0,0.554,162600.0,0.978,0.0,4.0,2061834.0,0.0731,-3.554,0.131,413355749.0,135.095,0.594,378323695.0
0.114,27609.0,0.529,166373.0,0.967,0.0,1.0,762715.0,0.61,-3.647,0.0508,388331061.0,140.127,0.596,135176149.0
0.00022,50003.0,0.524,184867.0,0.939,0.0,9.0,1400306.0,0.623,-3.994,0.113,345142662.0,150.184,0.661,240834555.0
0.0466,96490.0,0.58,208960.0,0.702,3.2e-06,4.0,2197293.0,0.536,-5.565,0.0337,391929621.0,105.076,0.299,374506972.0
0.0143,113567.0,0.585,230253.0,0.972,0.0,9.0,2534190.0,0.0707,-4.45,0.0534,368132993.0,110.006,0.585,353135986.0
0.0097,147276.0,0.515,238640.0,0.43,0.000133,7.0,4777393.0,0.129,-9.935,0.0372,1101854725.0,91.844,0.104,763497849.0
0.0577,40034.0,0.255,229120.0,0.393,0.00361,5.0,1274934.0,0.113,-10.654,0.0278,379349681.0,76.426,0.118,167847274.0
