Album,Album_type,Artist,Channel,Licensed,Title,Track,official_video
Mylo Xyloto,album,Coldplay,Coldplay,True,Coldplay - Paradise (Official Video),Paradise,True
A Head Full of Dreams,album,Coldplay,Coldplay,True,Coldplay - Hymn For The Weekend (Official Video),Hymn for the Weekend,True
Music Of The Spheres,album,Coldplay,Coldplay,True,Coldplay X BTS - My Universe (Official Video),My Universe,True
X&Y,album,Coldplay,Coldplay,True,Coldplay - Fix You (Official Video),Fix You,True
Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],single,Daft Punk,convar HUN,False,Daft Punk - Get Lucky (Official Video) feat. Pharrell Williams and Nile Rodgers,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,False
Discovery,album,Daft Punk,Daft Punk,True,Daft Punk - One More Time (Official Video),One More Time,True
Random Access Memories,album,Daft Punk,DaftPunkVEVO,True,Daft Punk - Instant Crush (Video) ft. Julian Casablancas,Instant Crush (feat. Julian Casablancas),True
Random Access Memories,album,Daft Punk,convar HUN,False,Daft Punk - Get Lucky (Official Video) feat. Pharrell Williams and Nile Rodgers,Get Lucky (feat. Pharrell Williams & Nile Rodgers),False
Homework,album,Daft Punk,Daft Punk,True,Daft Punk - Around The World (Official Music Video Remastered),Around the World,True
Discovery,album,Daft Punk,Daft Punk,True,"Daft Punk - Harder, Better, Faster, Stronger (Official Video)","Harder, Better, Faster, Stronger",True
Discovery,album,Daft Punk,Daft Punk,True,Daft Punk - Something About Us (Official Video),Something About Us,True
Random Access Memories,album,Daft Punk,DaftPunkVEVO,True,Daft Punk - Lose Yourself to Dance (Official Version),Lose Yourself to Dance (feat. Pharrell Williams),True
Discovery,album,Daft Punk,Daft Punk,True,Daft Punk - Veridis Quo (Official Video),Veridis Quo,True
Discovery,album,Daft Punk,Daft Punk,True,Daft Punk - Digital Love (Official Video),Digital Love,True
Hybrid Theory (Bonus Edition),album,Linkin Park,Linkin Park,True,In The End [Official HD Music Video] - Linkin Park,In the End,True
Meteora,album,Linkin Park,Linkin Park,True,Numb [Official Music Video] - Linkin Park,Numb,True
Minutes to Midnight,album,Linkin Park,Linkin Park,True,What I've Done [Official Music Video] - Linkin Park,What I've Done,True
Numb / Encore: MTV Ultimate Mash-Ups Presents Collision Course,single,Linkin Park,Linkin Park,True,Numb/Encore [Live] - Linkin Park & Jay Z,Numb / Encore,True
Hybrid Theory (Bonus Edition),album,Linkin Park,Linkin Park,True,One Step Closer [Official HD Music Video] - Linkin Park,One Step Closer,True
Meteora,album,Linkin Park,Linkin Park,True,Faint [Official Music Video] - Linkin Park,Faint,True
Minutes to Midnight,album,Linkin Park,Linkin Park,True,Bleed It Out [Official Music Video] - Linkin Park,Bleed It Out,True
Hybrid Theory (Bonus Edition),album,Linkin Park,Linkin Park,True,Papercut [Official HD Music Video] - Linkin Park,Papercut,True
Hybrid Theory (Bonus Edition),album,Linkin Park,Linkin Park,True,Crawling [Official HD Music Video] - Linkin Park,Crawling,True
LIVING THINGS,album,Linkin Park,Linkin Park,True,BURN IT DOWN [Official Music Video] - Linkin Park,BURN IT DOWN,True
Pablo Honey,album,Radiohead,Radiohead,True,Radiohead - Creep,Creep,True
OK Computer,album,Radiohead,Radiohead,True,Radiohead - No Surprises,No Surprises,True
OK Computer,album,Radiohead,Radiohead,True,Radiohead - Karma Police,Karma Police,True
The Bends,album,Radiohead,Justice Elan Wenzloff,False,Radiohead -  High & Dry -  American Version [OFFICIAL MUSIC VIDEO],High and Dry,False
OK Computer,album,Radiohead,Radiohead - Topic,True,Exit Music (For A Film),Exit Music (For A Film),True
In Rainbows,album,Radiohead,Radiohead,False,Radiohead - Weird Fishes -  by Tobias Stretch,Weird Fishes/ Arpeggi,True
In Rainbows,album,Radiohead,Radiohead,True,Radiohead - Jigsaw Falling Into Place,Jigsaw Falling Into Place,True
The Bends,album,Radiohead,Radiohead,True,Radiohead - Fake Plastic Trees,Fake Plastic Trees,True
The Bends,album,Radiohead,Radiohead,True,Radiohead - Just,Just,True
In Rainbows,album,Radiohead,Radiohead,True,Radiohead - Nude,Nude,True
Highway to Hell,album,AC/DC,acdcVEVO,True,AC/DC - Highway to Hell (Official Video),Highway to Hell,True
The Razors Edge,album,AC/DC,acdcVEVO,True,AC/DC - Thunderstruck (Official Video),Thunderstruck,True
Back In Black,album,AC/DC,acdcVEVO,True,AC/DC - Back In Black (Official Video),Back In Black,True
Back In Black,album,AC/DC,acdcVEVO,True,AC/DC - You Shook Me All Night Long (Official Video),You Shook Me All Night Long,True
High Voltage,album,AC/DC,acdcVEVO,True,"AC/DC - T.N.T. (Live At River Plate, December 2009)",T.N.T.,True
Back In Black,album,AC/DC,acdcVEVO,True,AC/DC - Hells Bells (Official Video),Hells Bells,True
Dirty Deeds Done Dirt Cheap,album,AC/DC,acdcVEVO,True,AC/DC - Dirty Deeds Done Dirt Cheap (Official Audio),Dirty Deeds Done Dirt Cheap,True
